Datum;DAX
08.1982;11260.494794581888
09.1982;11797.15661032128
10.1982;11453.710959364156
11.1982;11609.313780364939
12.1982;12375.909548863765
01.1983;12292.844509123475
02.1983;13488.861524683758
03.1983;14808.463002350834
04.1983;15828.7249524236
05.1983;15127.72640770178
06.1983;16113.735587148774
07.1983;16516.06403224001
08.1983;15635.50878764133
09.1983;16103.660584350164
10.1983;16876.077465577073
11.1983;16869.584685995746
12.1983;17327.88536885705
01.1984;18072.987798052167
02.1984;17153.6997649166
03.1984;17335.497593193777
04.1984;17374.902048583903
05.1984;16559.722377700662
06.1984;17089.891413858728
07.1984;16063.136684204635
08.1984;16815.401320944813
09.1984;17888.95108026419
10.1984;17961.938878316356
11.1984;18160.52837792455
12.1984;18379.267883129967
01.1985;18765.252434792343
02.1985;19151.01309750364
03.1985;19230.49367513713
04.1985;19548.86376357327
05.1985;21283.331467592074
06.1985;22802.86577857383
07.1985;22075.67446546513
08.1985;24217.62006045002
09.1985;25582.67099518639
10.1985;29011.306392029554
11.1985;28026.41889622747
12.1985;30588.380163438935
01.1986;31056.081943356097
02.1986;30389.34288592858
03.1986;33172.05865890519
04.1986;33747.22937423038
05.1986;30907.19802977723
06.1986;30391.805664390464
07.1986;28850.330236202844
08.1986;33527.37042426957
09.1986;31524.01209000336
10.1986;31933.952759431322
11.1986;32828.61300794806
12.1986;32066.49501847084
01.1987;28981.3052725848
02.1987;27859.843277734246
03.1987;29143.84865106907
04.1987;29287.809246613684
05.1987;29473.637076010302
06.1987;30953.99082055301
07.1987;33819.32161647823
08.1987;34429.86678607411
09.1987;33587.14877420799
10.1987;26360.23732228815
11.1987;22900.257472293742
12.1987;22388.89510802642
01.1988;20946.378596216276
02.1988;24169.931713869923
03.1988;23803.20161200045
04.1988;23608.19433560954
05.1988;24254.1139594761
06.1988;25563.640434344565
07.1988;26457.40512705698
08.1988;26091.12056420016
09.1988;28046.345012873615
10.1988;29123.250867569688
11.1988;28568.006268890633
12.1988;29729.53990820553
01.1989;29390.57427515952
02.1989;28851.673569909326
03.1989;29612.896003582224
04.1989;30692.93630359342
05.1989;31507.6681965745
06.1989;32994.9624986007
07.1989;34795.92522109034
08.1989;35774.096048360014
09.1989;35248.402552334046
10.1989;32973.46915929699
11.1989;35316.914810254115
12.1989;40084.40613455726
01.1990;40810.0302250084
02.1990;40522.10903391918
03.1990;44073.65946490541
04.1990;40596.664054628905
05.1990;41303.25758423822
06.1990;42088.883913578866
07.1990;42966.97637971566
08.1990;36482.92846748013
09.1990;29886.71219075339
10.1990;32101.645583790443
11.1990;32267.547296540917
12.1990;31304.82480689578
01.1991;31794.022165006158
02.1991;34525.69125713646
